name,Latitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MPH)
Arraial do Cabo,-22.97,26.4,94,44,5.07
Severo-Kurilsk,50.68,-4.35,100,64,7.72
Progreso,-34.68,22.78,88,0,4.1
Ushuaia,-54.81,5.0,75,40,4.1
Rikitea,-23.12,27.23,97,92,6.77
Vaini,15.34,15.0,93,0,1.02
Butaritari,3.07,23.58,100,92,1.97
Pisco,-13.71,23.0,78,40,7.2
Marawi,8.0,27.78,72,0,1.79
Jamestown,-33.21,16.88,79,20,5.82
Mataura,-46.19,27.18,34,0,7.62
Verkhoyansk,67.55,-23.75,69,8,1.62
Shahkot,31.08,14.05,77,0,1.37
Mount Gambier,-37.83,16.0,48,75,8.2
Qaanaaq,77.48,-23.2,83,44,2.07
Bredasdorp,-34.53,20.0,88,0,3.77
Nikolskoye,59.7,-11.67,78,0,7.0
Pacific Grove,36.62,15.56,76,75,5.7
Guerrero Negro,27.97,16.03,82,76,3.57
Hermanus,-34.42,20.0,83,0,4.47
Flinders,-34.58,36.67,44,36,9.8
Barrow,-38.31,19.13,40,24,3.77
Clyde River,70.47,-22.0,83,90,4.1
Ouango,4.31,21.25,95,24,1.02
Kamenka,53.19,1.28,95,76,7.12
Bethel,60.79,2.0,83,40,4.1
Namatanai,-3.66,30.08,91,12,3.57
Belmonte,40.36,10.0,91,92,2.24
San Cristobal,-0.39,15.0,93,75,3.1
Coquimbo,-29.95,17.0,82,0,1.5
Saskylakh,71.97,-18.85,69,80,3.77
Saint George,39.45,10.0,80,40,2.1
Port Lincoln,-34.72,18.3,87,20,6.77
Busselton,-33.64,22.78,27,64,7.07
Hobart,-42.88,15.0,50,75,3.1
Lincoln,53.23,9.0,100,75,8.7
Nanortalik,60.14,-2.73,100,80,19.37
Tasiilaq,65.61,-7.0,37,36,10.3
Provideniya,64.42,-1.0,63,0,6.0
Khatanga,71.98,-17.28,80,88,4.02
Cape Town,-33.93,19.44,88,0,1.5
Gizo,31.8,9.44,93,40,1.5
Wairoa,-39.04,24.44,70,0,1.79
Dikson,73.51,-12.78,100,64,5.72
Caravelas,-17.73,28.4,100,76,5.72
Wagar,31.44,1.67,82,0,2.97
Kitimat,54.02,2.0,27,5,6.2
Noyabrsk,63.2,-17.1,70,0,3.72
Mount Isa,-20.73,35.0,19,40,5.1
Ambilobe,-13.19,22.8,97,76,1.22
Ararangua,-28.93,23.53,97,12,2.02
Lugovoy,59.72,-14.45,80,20,4.67
Albany,42.65,-6.11,62,90,6.2
Deputatskiy,69.3,-24.03,69,0,1.72
Isoka,-10.15,14.58,90,56,1.22
Hithadhoo,-0.6,26.98,100,56,3.27
Chicama,-7.84,24.0,88,90,4.6
Mahebourg,-20.41,25.0,83,20,4.37
Patacamaya,-17.23,5.55,79,8,2.27
Batemans Bay,-35.71,19.44,87,76,2.47
Cabo San Lucas,22.89,22.22,64,40,2.1
Xacmaz,41.46,-1.35,71,0,1.87
Samarai,-10.62,28.98,100,20,2.12
Waterloo,43.47,-12.22,65,20,4.6
Iqaluit,63.75,-28.89,75,5,5.7
Vanimo,-2.67,27.78,100,88,4.02
Kisangani,0.52,22.03,96,0,0.97
Avarua,-21.21,27.0,65,76,2.1
Trapani,38.02,12.22,81,0,2.6
Port Elizabeth,39.31,-0.57,79,1,1.5
Hervey Bay,-25.3,30.56,66,75,4.1
Hilo,19.71,22.22,88,90,3.6
Atuona,-9.8,27.05,100,92,6.82
Iskateley,67.68,-14.23,85,76,5.72
Huarmey,-10.07,20.63,83,36,1.27
Rawson,-43.3,14.18,44,12,3.32
Inhambane,-23.87,26.78,89,92,6.47
Paraiso,24.01,24.0,11,20,4.1
Portland,45.52,3.89,43,75,6.7
Punta Arenas,-53.16,6.0,100,75,3.1
Menongue,-14.66,17.0,91,76,2.32
Chabahar,25.29,19.4,100,0,2.87
Petropavlovsk-Kamchatskiy,53.05,-7.0,48,76,2.0
Klaksvik,62.23,3.0,74,0,5.1
Kaitangata,-46.28,22.22,61,8,2.68
Prince Rupert,54.32,5.0,35,1,1.37
Rocha,-34.48,14.78,89,20,2.57
Tairua,-37.02,27.78,65,0,4.47
Port-Gentil,-0.72,25.63,100,48,1.22
Pitimbu,-7.47,25.0,94,0,2.6
Upernavik,72.79,-12.58,100,56,4.87
Kapaa,22.08,23.0,56,90,8.7
Mandalgovi,45.76,-3.73,90,0,2.57
Bambous Virieux,-20.34,25.0,83,20,4.37
Tuktoyaktuk,69.44,-16.0,84,20,1.5
Lebu,8.96,14.0,87,75,3.1
Luderitz,-26.65,15.15,89,0,0.82
Fairbanks,64.84,-2.22,73,20,3.27
Hambantota,6.12,25.0,100,40,1.5
Ponta Delgada,37.73,12.78,58,75,3.1
Geraldton,49.72,-20.0,70,40,2.1
Ribeira Grande,38.52,14.63,100,32,6.62
Port Alfred,-33.59,20.56,94,0,1.79
San Patricio,-26.98,24.93,76,8,2.42
Georgetown,6.8,26.0,83,20,3.1
Lamu,0.57,32.05,58,32,0.87
Ulladulla,-35.36,26.0,44,92,9.8
Leshukonskoye,64.9,-11.38,79,88,3.47
Umm Kaddadah,13.6,18.3,24,0,6.12
Broome,52.47,9.0,93,92,5.7
Bonthe,7.53,24.98,92,0,2.07
Chokurdakh,70.62,-27.6,77,0,1.47
East London,-33.02,24.23,100,24,11.97
Haines Junction,60.75,-18.5,80,0,0.97
Bluff,-23.58,29.15,71,56,2.82
Yulara,-25.24,31.0,25,0,6.2
Ushtobe,45.25,-0.43,87,76,1.22
Victoria,5.28,31.0,62,75,1.5
Tuatapere,-46.13,20.83,60,0,6.62
Laguna,27.52,20.0,68,90,1.12
Leningradskiy,69.38,-11.78,98,80,6.92
San Rafael,-34.61,13.65,66,0,1.87
Linxia,35.6,-0.13,49,36,1.62
Valparaiso,41.47,-7.78,61,1,8.7
Darnah,32.77,15.53,100,0,5.12
New Norfolk,-42.78,14.0,50,75,3.1
Esperance,10.24,24.44,83,20,3.1
Alofi,-19.06,29.0,70,75,8.7
Labytnangi,66.66,-25.7,42,12,2.32
Langsa,4.47,25.78,92,20,0.62
Egvekinot,66.32,-5.28,93,24,0.92
Thompson,55.74,-14.0,60,90,7.2
Houma,35.63,10.58,55,0,0.87
Vadso,70.07,-14.0,84,75,12.3
Aykhal,65.95,-5.2,83,32,3.97
Norman Wells,65.28,-7.0,52,20,1.5
Kieta,-6.22,28.25,92,56,2.92
Aksu,52.04,-8.0,92,75,3.0
San Ignacio,-36.8,16.0,41,0,2.1
Tessalit,20.2,10.5,28,8,2.47
Selikhino,50.37,-4.38,80,36,1.47
Bejar,40.49,4.05,100,0,1.02
Alice Springs,-23.7,32.0,22,0,8.2
Qaqortoq,60.72,2.0,27,88,6.2
Sinamar,16.9,28.48,67,0,1.92
Ahipara,-35.17,23.25,65,44,2.32
Touros,-5.2,24.75,100,32,2.32
Praia,-20.25,17.18,96,76,0.42
Alta Floresta,-9.87,23.8,94,32,1.07
Tongchuan,34.9,12.0,23,0,4.0
Codrington,-28.95,33.89,43,0,1.5
Bay Roberts,47.58,-2.78,85,75,8.7
Kutum,14.2,15.9,31,0,4.57
Torres,-29.34,23.48,97,44,1.72
Tiksi,71.64,-12.48,67,64,4.67
Yellowknife,62.45,-17.0,77,20,1.5
Agirish,61.92,-13.33,79,88,4.57
Atar,20.52,10.08,29,0,2.07
Hole Narsipur,12.78,22.43,70,8,1.77
Arlit,18.74,14.05,46,0,1.52
Neiafu,-18.65,27.0,83,75,2.1
Avera,33.19,6.0,38,1,5.1
Constitucion,23.99,24.0,11,20,4.1
Vostok,46.45,-3.7,49,0,2.52
Bethanien,-26.5,20.38,43,12,1.17
Azua,18.45,18.53,90,32,0.57
Puerto Ayora,-0.74,26.05,100,0,3.67
Jinchang,38.52,-0.93,82,0,0.77
Balangkayan,11.47,27.75,81,0,5.02
Richards Bay,-28.77,19.83,97,36,0.97
Mar del Plata,-46.43,16.43,53,24,11.42
Samoded,63.61,-10.08,72,68,4.47
Port Hardy,50.7,1.0,47,20,0.87
Cidreira,-30.17,23.68,92,56,2.07
Inta,66.04,-14.28,69,80,1.97
Lorengau,-2.02,28.5,100,8,2.27
Belaya Gora,68.54,-26.35,68,0,1.87
Naze,5.43,22.83,94,36,2.22
Oktyabrskoye,56.73,-5.57,92,75,4.0
Byron Bay,-28.65,33.89,74,0,8.2
Ajdovscina,45.89,8.89,93,0,1.0
Fortuna,38.18,15.0,87,75,1.5
Vestmanna,62.16,3.0,74,0,5.1
Manggar,-2.88,29.63,91,24,1.92
Kodiak,39.95,-9.0,40,1,2.6
General Roca,-39.03,16.0,55,0,3.37
Leh,34.16,-22.1,73,32,0.47
Kruisfontein,-34.0,18.28,76,0,4.52
Sitka,37.17,-6.11,61,0,1.27
Albemarle,35.35,4.0,27,75,3.6
Cayenne,4.94,24.0,88,92,3.57
Carnarvon,-30.97,12.75,45,0,1.32
Hazorasp,41.32,0.0,80,0,2.1
Dehloran,32.69,4.98,75,24,0.62
Meulaboh,4.14,28.33,100,24,1.62
Presidente Medici,-11.18,23.78,92,0,1.42
Mabaruma,8.2,25.23,79,32,3.57
Vallenar,-28.58,14.4,74,0,0.97
Awbari,26.59,4.83,64,0,1.27
Babati,-4.21,15.15,95,20,1.77
Hami,42.84,7.98,48,80,5.97
Pszczyna,49.98,3.89,93,90,5.1
Saint-Philippe,45.36,-8.33,92,90,1.5
Baherden,38.44,4.9,93,12,1.07
Charagua,-19.79,21.68,100,92,1.82
Cap Malheureux,-19.98,25.0,83,20,5.37
Zeya,53.74,-3.18,47,0,2.22
Ostrovnoy,68.05,-10.95,93,8,8.92
Verkhovye,52.81,1.4,92,88,8.87
Dingle,11.0,30.75,55,0,5.22
Del Rio,29.36,9.0,42,1,2.1
Saint-Joseph,43.56,8.89,70,0,2.1
Buchanan,5.88,27.18,95,32,3.17
San Quintin,17.54,30.05,47,0,1.62
Gaya,24.8,17.0,88,20,2.1
Jalu,29.03,5.75,78,0,1.22
Masuguru,-11.38,23.3,95,100,2.32
Tautira,-17.73,30.0,58,40,3.1
Semnan,35.58,5.0,44,0,1.52
Cherskiy,68.75,-17.2,71,80,1.57
Killybegs,54.63,3.89,92,88,4.47
Kulhudhuffushi,6.62,28.13,100,36,5.52
Ulaanbaatar,47.92,-3.0,32,0,1.0
Faya,18.39,14.0,82,40,3.1
